address,categories,city,latitude,longitude,name,postalCode,province
3280 Monroe Ave,Fast Food,Rochester,43.104559,-77.53872,McDonald's,14618,NY
317 Broadway,Fast Food,New York,40.715763,-74.005342,McDonald's,10007,NY
289 9th St,Fast Food,Brooklyn,40.669493,-73.986949,McDonald's,11215,NY
31 Holland Ave,Fast Food Restaurants,Albany,42.647323,-73.771918,McDonald's,12209,NY
3207 Erie Blvd E,Fast Food Restaurant,Syracuse,43.051788,-76.073175,McDonald's,13214,NY
315 Meadow Dr,Fast Food Restaurant,North Tonawanda,43.052286,-78.874572,McDonald's,14120,NY
3120 Niagara Falls Blvd,Fast Food Restaurant,Buffalo,43.039404,-78.824138,McDonald's,14228,NY
280 N Broadway,Fast Food Restaurants,Hicksville,40.777408,-73.529924,McDonald's,11801,NY
262 Canal St,Fast Food,New York,40.71851,-74.001157,McDonald's,10013,NY
274 Genesee St,Fast Food Restaurants,Oneida,43.07858,-75.650915,McDonald's,13421,NY
265 Nassau Rd,Fast Food Restaurant,Roosevelt,40.679047,-73.589571,McDonald's,11575,NY
262 Grider St,Fast Food,Buffalo,42.921505,-78.829117,McDonald's,14215,NY
2554 Central Park Ave,Fast Food Restaurant,Yonkers,40.982557,-73.828288,McDonald's,10710,NY
2341 Ridge Rd W,Fast Food,Rochester,43.208938,-77.690354,McDonald's,14626,NY
255 Carder Lane Rd,Fast Food Restaurants,Frankfort,43.074814,-75.098029,McDonald's,13340,NY
2410 Coney Island Ave,Fast Food,Brooklyn,40.598167,-73.961241,McDonald's,11223,NY
241 W Ferry St,Fast Food Restaurant,Buffalo,42.91523,-78.892305,McDonald's,14213,NY
241 W Ferry St,Fast Food,Buffalo,42.91523,-78.892305,McDonald's,14213,NY
2361 Hempstead Tpke,Fast food restaurants,East Meadow,40.72495,-73.54767,McDonald's,11554,NY
2240 Flatbush Ave,Fast Food Restaurants,Brooklyn,40.615378,-73.928896,McDonald's,11234,NY
205 Delaware St,Fast Food,Walton,42.168416,-75.13309,McDonald's,13856,NY
2058 Elmwood Ave,Fast Food Restaurant Military,Buffalo,42.953142,-78.878979,McDonald's,14207,NY
1701 Sunrise Hwy,Fast Food,Bay Shore,40.740276,-73.247418,Checkers,11706,NY
136 Sunrise Hwy,Fast Food Restaurant,Lindenhurst,40.702989,-73.376663,Checkers,11757,NY
1814 Central Ave,Fast Food,Albany,42.730804,-73.847902,McDonald's,12205,NY
1814 Central Ave,Fast Food Restaurant,Albany,42.730804,-73.847902,McDonald's,12205,NY
2010 Bartow Ave,Fast Food Restaurant,Bronx,40.869027,-73.830529,McDonald's,10475,NY
1997 3rd Ave,Fast Food,New York,40.793822,-73.942653,McDonald's,10029,NY
20 Welcher Ave,Fast Food Restaurant,Peekskill,41.270387,-73.935556,McDonald's,10566,NY
18 E 42nd St,Fast Food Restaurant,New York,40.752943,-73.980356,McDonald's,10017,NY
1724 Middle Country Rd,Fast Food Restaurant,Centereach,40.860103,-73.073078,McDonald's,11720,NY
1726 Pine Ave,Fast Food Restaurants,Niagara Falls,43.096744,-79.040168,McDonald's,14301,NY
1726 Pine Ave,Fast Food,Niagara Falls,43.096744,-79.040168,McDonald's,14301,NY
1531 Fulton St,Fast Food Restaurant,Brooklyn,40.679992,-73.939823,McDonald's,11216,NY
17 Ernst Pl,Fast Food,East Aurora,42.767682,-78.629373,McDonald's,14052,NY
136 W 3rd St,Fast Food Restaurant,New York,40.730757,-74.001115,McDonald's,10012,NY
1651 Broadway,Fast Food Restaurant,New York,40.762606,-73.983729,McDonald's,10019,NY
1510 Deer Park Ave,Fast Food Restaurant,North Babylon,40.748132,-73.324162,McDonald's,11703,NY
155 S Broadway,Fast Food Restaurants,Yonkers,40.927281,-73.895971,McDonald's,10701,NY
1255 Grand Ave,Fast Food,Baldwin,40.679658,-73.614801,McDonald's,11510,NY
1467 Rockaway Pkwy,Fast Food Restaurants,Brooklyn,40.644484,-73.901599,McDonald's,11236,NY
1450 Lyell Ave,Fast Food Restaurants,Rochester,43.166182,-77.661584,McDonald's,14606,NY
1450 Lyell Ave,Fast Food Restaurant Lyell-Otis,Rochester,43.166182,-77.661584,McDonald's,14606,NY
1317 Castle Hill Ave,Fast Food,Bronx,40.835001,-73.851924,McDonald's,10462,NY
1380 Broadway,Fast Food Restaurants,Brooklyn,40.68925,-73.921634,McDonald's,11221,NY
13 W Suffolk Ave,Fast food restaurants,Central Islip,40.790177,-73.204118,McDonald's,11722,NY
1338 Main St,Fast Food Restaurant,Buffalo,42.91018,-78.867002,McDonald's,14209,NY
10940 Lee Highway,Fast Food Restaurant,Fairfax,38.853833,-77.321556,Five Guys,22030,VA
400 Oriskany Blvd,Fast Food,Yorkville,43.114231,-75.27634,Taco Bell,13495,NY
